Nomor,KP,Jumlah,Entri,Tipe,Pembentukan,,,,
124550.3,x,,ter- + <afilias> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124550.4,v,,ter- + <afiliasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124550.5,x,,<terafilias> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124551,v,3,terafiliasinya,dasar,,,,,
124551.1,x,,[ter-:te-] + <rafiliasinya>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124551.2,x,,ter- + <afiliasinya>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124551.3,x,,<terafiliasi> + -nya,bentukan,[34] [SFS] -nya + (<all>),,,,
124551.4,x,,[ter-:te-] + <rafilias> + -i + -nya,bentukan,[20] ter- + (r) + (-kan;-i;-an) => [34] [SFS] -nya + (<all>),,,,
124551.5,x,,[ter-:te-] + <rafiliasi> + -nya,bentukan,[20] ter- + (r) + (-kan;-i;-an) => [34] [SFS] -nya + (<all>),,,,
124551.6,x,,ter- + <afilias> + -i + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>),,,,
124551.7,v,,ter- + <afiliasi> + -nya,bentukan,[22] ter- + (<others>) + (-i;-kan;-an) => [34] [SFS] -nya + (<all>),,,,
124551.8,x,,<terafilias> + -i + -nya,bentukan,[28] [S] -i + (<all>) => [34] [SFS] -nya + (<all>),,,,
,,,,,,,,,
124552,v,2,terafirmasi,dasar,,,,,
124552.1,x,,[ter-:te-] + <rafirmas> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124552.2,x,,[ter-:te-] + <rafirmasi>,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
124552.3,x,,ter- + <afirmas> + -i,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124552.4,v,,ter- + <afirmasi>,bentukan,[22] ter- + (<others>) + (-i;-kan;-an),,,,
124552.5,x,,<terafirmas> + -i,bentukan,[28] [S] -i + (<all>),,,,
,,,,,,,,,
124553,k,0,teraformasi,dasar,,,,,
124553.1,x,,[ter-:te-] + <raformas> + -i,bentukan,[20] ter- + (r) + (-kan;-i;-an),,,,
